mode: set
yaas/logic/oauth2Validation.go:17.58,18.55 1 1
yaas/logic/oauth2Validation.go:21.2,21.33 1 1
yaas/logic/oauth2Validation.go:26.2,26.13 1 1
yaas/logic/oauth2Validation.go:18.55,20.3 1 1
yaas/logic/oauth2Validation.go:21.33,22.81 1 1
yaas/logic/oauth2Validation.go:22.81,24.4 1 0
yaas/logic/oauth2Validation.go:29.82,30.54 1 1
yaas/logic/oauth2Validation.go:33.2,33.16 1 1
yaas/logic/oauth2Validation.go:30.54,32.3 1 1
yaas/logic/oauth2Validation.go:34.13,35.27 1 1
yaas/logic/oauth2Validation.go:36.12,41.28 5 1
yaas/logic/oauth2Validation.go:42.10,43.44 1 0
yaas/logic/oauth2Validation.go:47.31,49.2 1 0
yaas/logic/oauth2Validation.go:51.31,55.2 1 1
yaas/logic/oauth2Validation.go:57.32,62.2 1 0
yaas/logic/oauth2Validation.go:64.42,70.2 1 0
yaas/logic/oauth2Validation.go:72.38,73.29 1 0
yaas/logic/oauth2Validation.go:78.2,78.13 1 0
yaas/logic/oauth2Validation.go:73.29,74.22 1 0
yaas/logic/oauth2Validation.go:74.22,76.4 1 0
yaas/logic/oauth2Validation.go:81.37,82.29 1 0
yaas/logic/oauth2Validation.go:87.2,87.13 1 0
yaas/logic/oauth2Validation.go:82.29,83.21 1 0
yaas/logic/oauth2Validation.go:83.21,85.4 1 0
yaas/logic/oauth2Validation.go:90.39,91.29 1 0
yaas/logic/oauth2Validation.go:96.2,96.13 1 0
yaas/logic/oauth2Validation.go:91.29,92.23 1 0
yaas/logic/oauth2Validation.go:92.23,94.4 1 0
yaas/logic/oauth2Validation.go:99.39,101.2 1 0
yaas/logic/oauth2Validation.go:103.47,105.2 1 0
yaas/logic/oauth2Validation.go:107.30,109.2 1 1
yaas/logic/oauth2Validation.go:111.30,114.2 1 1
yaas/logic/oauth2Validation.go:116.47,118.36 2 0
yaas/logic/oauth2Validation.go:129.2,129.21 1 0
yaas/logic/oauth2Validation.go:118.36,119.52 1 0
yaas/logic/oauth2Validation.go:123.3,123.35 1 0
yaas/logic/oauth2Validation.go:127.3,127.15 1 0
yaas/logic/oauth2Validation.go:119.52,121.12 2 0
yaas/logic/oauth2Validation.go:123.35,125.12 2 0
yaas/logic/oauth2Validation.go:132.48,136.29 4 1
yaas/logic/oauth2Validation.go:149.2,149.19 1 1
yaas/logic/oauth2Validation.go:152.2,152.51 1 1
yaas/logic/oauth2Validation.go:136.29,137.21 1 1
yaas/logic/oauth2Validation.go:141.3,141.35 1 1
yaas/logic/oauth2Validation.go:147.3,147.20 1 1
yaas/logic/oauth2Validation.go:137.21,139.12 2 1
yaas/logic/oauth2Validation.go:141.35,145.12 4 1
yaas/logic/oauth2Validation.go:149.19,151.3 1 1
yaas/logic/oauth2Validation.go:155.33,157.2 1 0
yaas/logic/oauth2Validation.go:159.37,162.2 2 0
yaas/logic/oauth2Validation.go:164.34,167.2 2 0
yaas/logic/oauth2Validation.go:169.33,171.2 1 0
yaas/logic/oauth2Validation.go:173.55,175.2 1 0
yaas/logic/oauth2Validation.go:177.41,179.13 2 0
yaas/logic/oauth2Validation.go:183.2,183.13 1 0
yaas/logic/oauth2Validation.go:179.13,182.3 2 0
yaas/logic/oauth2Validation.go:186.31,188.2 1 0
yaas/logic/oauth2Validation.go:190.45,192.2 1 0
yaas/logic/oauth2Validation.go:194.41,196.13 2 0
yaas/logic/oauth2Validation.go:200.2,200.13 1 0
yaas/logic/oauth2Validation.go:196.13,199.3 2 0
yaas/logic/oauth2Validation.go:203.41,205.2 1 0
yaas/logic/oauth2Validation.go:207.39,209.2 1 0
yaas/logic/oauth2Validation.go:211.39,213.2 1 0
yaas/logic/oauth2Validation.go:215.47,217.2 1 0
yaas/logic/oauth2Validation.go:219.57,221.2 1 0
yaas/logic/oauth2Validation.go:223.33,225.2 1 0
yaas/logic/oauth2Validation.go:227.40,228.29 1 0
yaas/logic/oauth2Validation.go:233.2,233.13 1 0
yaas/logic/oauth2Validation.go:228.29,229.24 1 0
yaas/logic/oauth2Validation.go:229.24,231.4 1 0
yaas/logic/oauth2Validation.go:236.47,237.29 1 0
yaas/logic/oauth2Validation.go:242.2,242.13 1 0
yaas/logic/oauth2Validation.go:237.29,238.33 1 0
yaas/logic/oauth2Validation.go:238.33,240.4 1 0
yaas/logic/helpers.go:6.49,7.35 1 0
yaas/logic/helpers.go:12.2,12.14 1 0
yaas/logic/helpers.go:7.35,8.27 1 0
yaas/logic/helpers.go:8.27,10.4 1 0
yaas/logic/helpers.go:15.89,19.22 4 0
yaas/logic/helpers.go:22.2,22.50 1 0
yaas/logic/helpers.go:27.2,27.14 1 0
yaas/logic/helpers.go:19.22,21.3 1 0
yaas/logic/helpers.go:22.50,23.40 1 0
yaas/logic/helpers.go:23.40,25.4 1 0
yaas/main.go:15.13,17.16 2 0
yaas/main.go:20.2,22.109 2 0
yaas/main.go:28.2,33.111 5 0
yaas/main.go:17.16,19.3 1 0
yaas/main.go:22.109,23.55 1 0
yaas/main.go:23.55,25.4 1 0
yaas/service/authorizeEndpoint.go:12.115,13.63 1 0
yaas/service/authorizeEndpoint.go:23.2,24.16 2 0
yaas/service/authorizeEndpoint.go:28.2,29.33 2 0
yaas/service/authorizeEndpoint.go:33.2,34.39 2 0
yaas/service/authorizeEndpoint.go:38.2,39.16 2 0
yaas/service/authorizeEndpoint.go:44.2,44.103 1 0
yaas/service/authorizeEndpoint.go:48.2,49.18 2 0
yaas/service/authorizeEndpoint.go:57.2,58.55 2 0
yaas/service/authorizeEndpoint.go:64.2,64.42 1 0
yaas/service/authorizeEndpoint.go:13.63,14.39 1 0
yaas/service/authorizeEndpoint.go:14.39,17.4 2 0
yaas/service/authorizeEndpoint.go:18.8,22.3 2 0
yaas/service/authorizeEndpoint.go:24.16,27.3 2 0
yaas/service/authorizeEndpoint.go:29.33,32.3 2 0
yaas/service/authorizeEndpoint.go:34.39,37.3 2 0
yaas/service/authorizeEndpoint.go:39.16,42.3 2 0
yaas/service/authorizeEndpoint.go:44.103,47.3 2 0
yaas/service/authorizeEndpoint.go:49.18,50.33 1 0
yaas/service/authorizeEndpoint.go:55.3,55.39 1 0
yaas/service/authorizeEndpoint.go:50.33,54.4 3 0
yaas/service/authorizeEndpoint.go:58.55,62.3 3 0
yaas/service/authorizeEndpoint.go:65.12,71.68 2 0
yaas/service/authorizeEndpoint.go:90.3,93.44 2 0
yaas/service/authorizeEndpoint.go:101.3,102.43 2 0
yaas/service/authorizeEndpoint.go:109.3,109.27 1 0
yaas/service/authorizeEndpoint.go:114.10,116.56 2 0
yaas/service/authorizeEndpoint.go:71.68,73.44 2 0
yaas/service/authorizeEndpoint.go:78.4,78.65 1 0
yaas/service/authorizeEndpoint.go:73.44,77.5 3 0
yaas/service/authorizeEndpoint.go:78.65,80.5 1 0
yaas/service/authorizeEndpoint.go:81.9,82.23 1 0
yaas/service/authorizeEndpoint.go:82.23,87.5 3 0
yaas/service/authorizeEndpoint.go:93.44,100.4 3 0
yaas/service/authorizeEndpoint.go:102.43,103.28 1 0
yaas/service/authorizeEndpoint.go:103.28,107.5 3 0
yaas/service/authorizeEndpoint.go:109.27,113.4 2 0
yaas/service/errors.go:5.55,8.2 2 0
yaas/service/errors.go:10.46,13.2 2 0
yaas/service/errors.go:15.62,18.2 2 0
yaas/service/loginEndpoint.go:11.111,12.33 1 0
yaas/service/loginEndpoint.go:16.2,16.32 1 0
yaas/service/loginEndpoint.go:21.2,22.86 2 0
yaas/service/loginEndpoint.go:12.33,15.3 2 0
yaas/service/loginEndpoint.go:16.32,19.3 2 0
yaas/service/loginEndpoint.go:22.86,25.3 1 0
yaas/service/loginEndpoint.go:25.8,27.3 1 0
yaas/service/loginEndpoint.go:30.64,31.58 1 0
yaas/service/loginEndpoint.go:31.58,33.3 1 0
yaas/service/loginEndpoint.go:36.66,37.38 1 0
yaas/service/loginEndpoint.go:50.2,51.8 2 0
yaas/service/loginEndpoint.go:37.38,41.45 3 0
yaas/service/loginEndpoint.go:41.45,43.18 2 0
yaas/service/loginEndpoint.go:47.4,47.29 1 0
yaas/service/loginEndpoint.go:43.18,46.5 2 0
yaas/service/signing.go:30.44,33.32 3 1
yaas/service/signing.go:36.2,37.32 2 1
yaas/service/signing.go:40.2,43.20 4 1
yaas/service/signing.go:33.32,35.3 1 1
yaas/service/signing.go:37.32,39.3 1 1
yaas/service/signing.go:46.53,52.30 6 1
yaas/service/signing.go:56.2,57.30 2 1
yaas/service/signing.go:61.2,63.26 3 1
yaas/service/signing.go:66.2,72.8 1 1
yaas/service/signing.go:52.30,55.3 2 1
yaas/service/signing.go:57.30,60.3 2 1
yaas/service/signing.go:63.26,65.3 1 0
yaas/service/signing.go:75.63,81.2 1 1
yaas/service/signing.go:83.54,85.16 2 1
yaas/service/signing.go:88.2,88.21 1 1
yaas/service/signing.go:85.16,87.3 1 0
yaas/service/signing.go:91.71,92.94 1 0
yaas/service/signing.go:95.2,96.77 2 0
yaas/service/signing.go:92.94,94.3 1 0
yaas/service/signing.go:99.81,102.16 3 0
yaas/service/signing.go:105.2,111.8 1 0
yaas/service/signing.go:102.16,104.3 1 0
yaas/service/authRequest.go:11.71,15.31 2 1
yaas/service/authRequest.go:40.2,40.25 1 1
yaas/service/authRequest.go:15.31,16.14 1 1
yaas/service/authRequest.go:33.16,34.23 1 1
yaas/service/authRequest.go:37.4,37.42 1 1
yaas/service/authRequest.go:34.23,36.5 1 1
yaas/service/consentEndpoint.go:9.69,10.33 1 0
yaas/service/consentEndpoint.go:17.2,17.32 1 0
yaas/service/consentEndpoint.go:22.2,26.86 2 0
yaas/service/consentEndpoint.go:10.33,16.3 1 0
yaas/service/consentEndpoint.go:17.32,20.3 2 0
yaas/service/consentEndpoint.go:26.86,30.3 1 0
yaas/service/consentEndpoint.go:30.8,32.3 1 0
yaas/service/cookies.go:9.78,11.16 2 0
yaas/service/cookies.go:14.2,20.8 1 0
yaas/service/cookies.go:11.16,13.3 1 0
yaas/service/cookies.go:26.72,28.16 2 0
yaas/service/cookies.go:31.2,32.16 2 0
yaas/service/cookies.go:35.2,35.44 1 0
yaas/service/cookies.go:38.2,38.19 1 0
yaas/service/cookies.go:28.16,30.3 1 0
yaas/service/cookies.go:32.16,34.3 1 0
yaas/service/cookies.go:35.44,37.3 1 0
yaas/service/init.go:18.13,21.16 3 1
yaas/service/init.go:24.2,24.50 1 1
yaas/service/init.go:21.16,23.3 1 0
yaas/service/tokenEndpoint.go:10.111,12.2 1 0
